statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
7760,2010,2023,222.0,4812135.0,423,5982,0.0,38.0,131596.0,0.6363636363636364,28.571,2.73,theajmendez,1.0
19927,2010,2023,1138.0,530.0,42675,24,3.0,54.0,100409.0,0.1999999999999999,28.286,18945.09,djhottowns,1.0
3425,2010,2023,551.0,35.0,24076,2,0.0,40.0,183888.0,0.7692307692307692,23.714,525394.29,vancejackson,0.0
347363,2010,2023,778.0,1360.0,173702,39,196.0,84.0,760358.0,0.0,28.571,55908.68,yakimeshi17,0.0
16067,2010,2023,679.0,120249.0,4505,639,1.0,0.0,65.0,0.625,28.571,0.05,hpespana,1.0
2434,2010,2023,100.0,5300878.0,11,33717,1.0,0.0,1355927.0,0.0,28.571,25.58,donghae861015,1.0
78275,2010,2023,5399.0,5013.0,94327,10,200.0,190.0,397159.0,0.2142857142857143,28.571,7922.58,thezookeeper23,1.0
6482,2010,2023,266.0,30656.0,545,349,14.0,28.0,349.0,0.5555555555555556,28.571,1.14,fisherinvest,1.0
3729,2010,2023,97.0,141.0,1940,1,4.0,0.0,1.0,0.6111111111111112,28.571,0.71,koukouzelis,1.0
15166,2010,2023,1083.0,3806038.0,6117,9864,3.0,4.0,52611.0,0.5714285714285714,28.571,1.38,themichaelowen,1.0
115564,2010,2023,540.0,314457.0,11884,1032,44.0,78.0,5832.0,0.0,28.286,1.85,alamattaqs,1.0
12327,2010,2023,323.0,822168.0,12141,668,5.0,116.0,36216.0,0.5294117647058824,28.143,4.4,tinoasprillah,1.0
56811,2010,2023,1405.0,3274486.0,44329,7558,9.0,2.0,7913.0,0.8,28.571,0.24,ssantiagosegura,1.0
3419,2010,2023,467469.0,360648.0,272,1857,0.0,10.0,593783.0,0.1666666666666666,28.571,164.64,sodan4,0.0
5282,2010,2023,20.0,3053.0,464,10,23.0,10.0,335.0,0.15,28.571,10.97,canyon1eagle,1.0
42396,2010,2023,274.0,4924583.0,14846,1694,155.0,100.0,8936.0,0.1538461538461538,28.429,0.18,carole_samaha,1.0
34245,2010,2023,1584.0,26162.0,11433,845,6.0,100.0,1073.0,0.7272727272727273,28.571,4.1,quirkbooks,1.0
43887,2010,2023,1601.0,1075.0,39439,4,2.0,70.0,1179246.0,0.1875,28.0,109697.3,twerkjadatwerk,1.0
