HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,IsABot,username
1.0,66.0,232100.0,1.0,1700000.0,20.0,4.9,58.2,209.2,10386.45,0.15,212212.75,0.0,
1.0,378.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,362.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,109.0,94500.0,1.0,816400.0,20.0,4.5,16.6,18.5,548.65,0.1,5643.15,0.0,
1.0,3134.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,887.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,164.0,10300.0,1.0,4375.0,20.0,1.55,15.5,1.0,205.7,0.6,875.6,0.0,
1.0,179.0,12.0,0.0,117.0,17.0,0.53,0.59,0.06,6.88,0.06,125.65,1.0,
1.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,8400000.0,1.0,185800000.0,3.0,0.0,3160.33,97.0,187433.33,1.33,1069166.67,0.0,
1.0,1549.0,20800.0,1.0,1300000.0,20.0,4.35,33.65,27.95,1611.7,0.7,6659.45,0.0,
0.0,30.0,4.0,0.0,13.0,1.0,0.0,1.0,0.0,3.0,1.0,150.0,0.0,
1.0,264.0,131.0,1.0,20.0,1.0,0.0,0.0,1.0,20.0,0.0,23.0,1.0,
1.0,200.0,151.0,1.0,1372.0,3.0,0.33,0.0,0.0,4.0,0.33,122.67,0.0,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,347.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,428.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
1.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1840.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,379.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,793.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1353.0,132.0,1.0,326.0,20.0,0.35,0.0,0.1,5.95,0.3,82.75,1.0,
1.0,366.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,149.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,36.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1265.0,2600000.0,1.0,104800000.0,20.0,1.1,516.1,239.45,65769.2,0.1,333330.0,0.0,
1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,90.0,40.0,1.0,59.0,4.0,3.5,0.75,0.5,14.75,0.0,752.5,0.0,
1.0,262.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,544.0,22.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,63600.0,1.0,
1.0,31.0,16.0,0.0,53.0,17.0,3.35,0.06,0.18,3.12,0.47,36.35,0.0,
1.0,706.0,19.0,0.0,48.0,1.0,0.0,0.0,0.0,48.0,0.0,354.0,1.0,
1.0,789.0,107.0,1.0,1858.0,20.0,0.75,1.75,0.2,52.05,0.65,634.4,0.0,
1.0,169.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,175.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,142.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,61.0,17.0,1.0,211.0,12.0,4.33,1.75,0.17,15.0,0.08,119.92,0.0,
1.0,41.0,112.0,1.0,381.0,20.0,10.3,0.1,0.1,6.5,0.05,125.7,0.0,
1.0,102.0,279100.0,1.0,1600000.0,20.0,2.65,191.1,149.55,14188.0,0.3,120335.0,0.0,
1.0,152.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,3599.0,224.0,0.0,92.0,6.0,0.0,0.0,0.17,15.33,0.0,84.17,1.0,
1.0,27.0,67.0,0.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,63.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
