Id	IsAccountPrivate	IsVerified	HasProfilePicture	AnzahlFolgeIch	AnzahlFollower	AnzahlLikes	HasInstagramLink	HasYoutubeLink	HasAccountDescription	HasLinkInDescription	LinkInDescription	PostsExist	AnzahlPosts	AreLikedVideosPrivate	NumberOfLikedVideos	VerhaeltnisFolgeIchProFollower	VerhaeltnisLikesProFollower	AverageNumberOfHashtags	AverageNumberOfComments	AverageNumberOfCharacters	AverageNumberOfForwardings	AverageNumberOfLikes	AverageNumberOfLinkedProfiles	AverageNumberOfUsedFilters	LikedAverageNumberOfHashtags	LikedAverageNumberOfComments	LikedAverageNumberOfCharacters	LikedAverageNumberOfForwardings	LikedAverageNumberOfLikes	LikedAverageNumberOfLinkedProfiles	LikedAverageNumberOfUsedFilters	AverageNumberOfViews	LikedAverageNumberOfViews	VerhaeltnisLikesProAufruf	VerhaeltnisCommentsProAufruf	IsABot
2183CCFC-81EF-4526-98DC-011A6E4C3191	False	False	True	1195	93	20	False	False	False	False		True	4	True	0	12.849462365591398	0.21505376344086022	0.25	0.0	2.75	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.2631578947368421	0.0	
78A95680-6F19-4670-8FC3-01202BEA5D2F	False	False	True	1373	8	0	False	False	False	False		False	0	True	0	171.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
56F21ED9-57D5-4741-9DF0-012924B0A467	False	False	True	1920	42	0	False	False	True	False		False	0	False	20	45.714285714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	24.75	56.6	89.2	2581.5	0.1	0.0	0.0	26983.8	0.0	0.0	True
13D13950-6C22-45C5-A6A7-012C20EDC65E	False	False	True	426	33	49	False	False	True	False		True	20	True	0	12.909090909090908	1.4848484848484849	0.0	0.15	12.25	0.0	1.05	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.65	0.0	0.13725490196078433	0.0196078431372549	
94EBFDA7-AB27-481A-98DA-01357B902244	False	False	False	0	2	0	False	False	True	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
FE853DC6-73AB-4D58-B3A5-013C9813C25E	True	False	True	1783	12	14	False	False	False	False		False	0	True	0	148.58333333333334	1.1666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0E7AE8D0-6AB9-43C7-936F-01401B943398	True	False	True	4813	82	5	False	False	False	False		False	0	True	0	58.69512195121951	0.06097560975609756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9FAA8390-BDB9-4482-8921-014689CE0132	False	False	True	129	19	56	False	False	False	False		False	0	True	0	6.7894736842105265	2.9473684210526314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6AED91C2-FBEA-4AB2-A541-01498E63BFA6	False	False	False	5787	61	0	False	False	True	False		False	0	True	0	94.8688524590164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
928EBD6A-77B8-4003-8418-01551741762F	False	False	True	323	27	26	True	False	True	False		True	20	True	0	11.962962962962964	0.9629629629629629	0.55	0.0	20.0	0.0	0.45	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.9	0.0	0.02380952380952381	0.0	
