IsVerified,HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,avg_videos_by_day_of_week,IsABot
0.0,1.0,452.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,159.0,15.0,1.0,447.0,8.0,7.5,0.25,0.0,55.88,0.12,365.75,1.14,-1.0
0.0,1.0,674.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,81.0,105.0,1.0,662.0,20.0,1.55,4.05,0.05,11.4,0.0,602.1,2.86,-1.0
0.0,1.0,242.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,4.0,5759.0,1.0,9379.0,20.0,4.6,4.6,15.6,164.0,0.2,3581.2,2.86,0.0
0.0,1.0,92.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,-1.0
0.0,1.0,16.0,2.0,0.0,4.0,3.0,0.0,0.67,0.0,1.33,0.0,7.0,0.43,-1.0
0.0,1.0,88.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,7054.0,444.0,0.0,621.0,20.0,0.0,0.05,0.05,5.7,0.0,23.95,2.86,-1.0
0.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,22.0,15.0,0.0,106.0,20.0,0.0,0.1,0.05,2.95,0.05,31.55,2.86,-1.0
0.0,1.0,264.0,10.0,0.0,6.0,4.0,0.25,0.5,0.0,1.5,0.0,33.0,0.57,-1.0
