,verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,url,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,screen_name,account_type,following/years,followers/lastpost
64,0,190,1,2009,2022,242.0,47.0,958,0,7,0.0,34.0,275990.0,0,0.375,7.833,26.857,velamint,1,3766.418252390419,412148.76978417265
65,0,760,1,2016,2022,258.0,366.0,1145,1,1,0.0,80.0,1121933.0,1,0.0714285714285714,8.333,28.571,MadeIn5thGrade,1,3750.418252390419,411829.76978417265
66,0,1271,1,2009,2022,1505.0,3911.0,96,47,1,0.0,2.0,76.0,1,0.7857142857142857,8.333,28.571,VanessaBrunoPR,1,2503.418252390419,408284.76978417265
67,0,7632,1,2009,2021,485.0,327.0,1061,10,1,0.0,68.0,522196.0,1,0.3888888888888888,7.75,26.571,MindyLee_09,1,3523.418252390419,411868.76978417265
68,0,9986,1,2009,2021,265.0,324698.0,818,1104,11,0.0,100.0,19726.0,1,0.7272727272727273,8.208,28.143,davidguapo,1,3743.418252390419,87497.76978417265
69,0,42705,0,2008,2021,0.0,303357.0,30927,800,1,0.0,72.0,20946.0,0,0.5384615384615384,8.208,28.143,camilogarcia,1,4008.418252390419,108838.76978417265
70,0,3009,1,2009,2021,410.0,2242.0,1255,76,1,0.0,64.0,6532.0,1,0.75,8.125,27.857,JulianHakes,1,3598.418252390419,409953.76978417265
71,1,15029,1,2009,2022,500.0,947877.0,2199,897,6,0.0,72.0,11131.0,1,0.5,7.292,25.0,MirLes,1,3508.418252390419,-535681.2302158274
72,0,2052,1,2011,2022,134.0,52.0,1496,2,1,0.0,54.0,518387.0,1,0.1428571428571429,8.333,28.571,dutiletremblay,1,3874.418252390419,412143.76978417265
73,0,2844,1,2015,2021,88.0,284.0,5,34,1,0.0,6.0,65.0,1,0.2272727272727273,8.333,28.571,somelaterdate,1,3920.418252390419,411911.76978417265
74,0,3499,1,2012,2022,2088.0,1064.0,3877,18,1,0.0,72.0,705408.0,1,0.5555555555555556,8.25,28.286,chefgretchenh,1,1920.4182523904192,411131.76978417265
75,0,367,0,2017,2022,100.0,33.0,2,3,18,0.0,0.0,0.0,1,1.0,8.333,28.571,AiANews,1,3908.418252390419,412162.76978417265
76,0,160,0,2017,2021,283.0,213.0,202,34,1,0.0,76.0,32353.0,0,0.7142857142857143,6.583,22.571,BeardedMoonGuy,1,3725.418252390419,411982.76978417265
77,0,3025,1,2009,2021,4281.0,4241.0,5487,391,12,0.0,2.0,64.0,0,0.1818181818181817,8.333,28.571,TamsSascha,1,-272.5817476095808,407954.76978417265
78,0,4804,1,2009,2022,55.0,178.0,1655,2,1,0.0,40.0,298522.0,0,0.15,8.333,28.571,icoonnn,1,3953.418252390419,412017.76978417265
79,0,788,1,2013,2022,312.0,242.0,23,7,1,0.0,0.0,7.0,1,0.9230769230769232,8.333,28.571,KarenaLapray,1,3696.418252390419,411953.76978417265
80,0,17379,1,2011,2022,2241.0,396.0,56972,26,4,0.0,80.0,1165395.0,0,0.0714285714285714,3.542,12.143,XxPac_Man919xX,1,1767.4182523904192,411799.76978417265
81,0,4801,0,2014,2021,132.0,80.0,15344,0,16,0.0,198.0,133874.0,0,0.0,8.25,28.286,ValerioRosaria,1,3876.418252390419,412115.76978417265
