,verified,statuses,location,date_joined,most_recent_post,following,followers,likes,lists,tweet_language,tweets_this_week,retweet,retweeted_count,URL works,userNameScore,avg_tweets_by_hour_of_day,avg_ssgtweets_by_day_of_week,account_type
22133,0,23,0,2014,2018,89.0,6.0,94,0,1,0.0,14.0,57144.0,0,0.0833333333333333,0.875,3.0,0
22134,0,26184,0,2011,2023,285.0,196.0,3478,8,1,18.0,0.0,6.0,0,0.9333333333333332,8.333,28.571,1
22135,0,38571,1,2008,2023,20832.0,23973.0,60855,46,15,199.0,112.0,46595.0,0,0.4705882352941176,8.292,28.429,1
22136,0,2255,1,2009,2022,565.0,189.0,2691,10,1,0.0,2.0,8766.0,0,0.4,8.333,28.571,1
22137,0,2743,1,2010,0,16.0,46.0,1973,0,0,0.0,0.0,0.0,0,0.4615384615384615,0.0,0.0,0
22138,0,133,0,2017,2017,0.0,0.0,22,0,3,0.0,108.0,58891.0,0,0.0,4.5,15.429,0
22139,0,7094,1,2010,2017,0.0,383.0,697,2,1,0.0,132.0,232362.0,0,0.3,5.5,18.857,1
22140,0,362,0,2009,2010,0.0,1.0,3,0,1,0.0,0.0,0.0,0,0.1999999999999999,8.292,28.429,1
22141,0,7124,1,2009,2022,178.0,79.0,2013,6,15,0.0,0.0,3759.0,1,0.5263157894736843,8.333,28.571,1
22142,0,12007,0,2013,0,1129.0,159.0,43000,1,0,0.0,0.0,0.0,0,0.2222222222222222,0.0,0.0,1
22143,0,1166,1,2011,2023,192.0,182.0,549,1,5,0.0,18.0,288135.0,0,0.2222222222222222,8.333,28.571,1
22144,0,3310,0,2013,2017,63.0,21.0,2309,2,1,0.0,118.0,363886.0,0,0.4615384615384615,4.917,16.857,0
22145,0,3681,1,2010,2022,88.0,146.0,23857,3,1,0.0,144.0,1248442.0,0,0.0999999999999999,8.208,28.143,1
22146,0,3141,0,2011,2017,0.0,72.0,2396,0,4,0.0,146.0,542732.0,0,0.9375,6.083,20.857,1
22147,0,13839,1,2008,2023,168.0,213.0,23747,36,1,1.0,92.0,139932.0,1,1.0,8.25,28.286,1
22148,0,28241,0,2012,2023,2078.0,986.0,6704,5,10,9.0,146.0,722880.0,0,0.3571428571428571,8.333,28.571,1
22149,0,2929,1,2009,2023,566.0,67.0,2735,0,1,0.0,88.0,1674617.0,0,0.1785714285714286,8.25,28.286,1
22150,0,44943,1,2010,2022,952.0,1087.0,2824,9,1,0.0,24.0,523606.0,1,0.7222222222222222,8.167,28.0,1
22151,1,12348,0,2010,2019,637.0,208203.0,1413,367,1,0.0,12.0,38961.0,0,0.5384615384615384,8.208,28.143,1
22152,0,1718,0,2013,2017,47.0,9.0,1117,0,1,0.0,140.0,514790.0,0,0.1333333333333333,5.875,20.143,0
22153,0,168,0,2016,2017,0.0,1.0,64,1,9,0.0,108.0,251679.0,0,0.4,6.208,21.286,1
22154,1,104110,1,2009,2023,15911.0,152092.0,2301,1137,1,74.0,24.0,291.0,1,0.2307692307692307,8.333,28.571,0
22155,0,1812,0,2015,2017,0.0,0.0,1215,0,1,0.0,136.0,426300.0,0,0.0,5.667,19.429,0
22156,1,3467,1,2010,2017,24479.0,263586.0,9,1065,1,0.0,4.0,2840.0,1,0.6666666666666667,8.333,28.571,1
22157,0,2636,1,2016,2023,379.0,18.0,9412,0,1,0.0,88.0,894990.0,0,0.0666666666666666,8.167,28.0,1
22158,0,336964,1,2011,2023,334.0,819.0,1952,22,1,148.0,162.0,1084174.0,0,0.0,8.292,28.429,0
22159,0,6832,1,2012,2017,668.0,419.0,7616,4,37,0.0,136.0,403446.0,1,0.3636363636363636,5.708,19.571,0
22160,0,723,1,2011,2017,0.0,48.0,121,1,1,0.0,38.0,27172.0,0,0.75,7.875,27.0,1
22161,0,307,0,2012,2018,0.0,6.0,14,0,1,0.0,8.0,121419.0,0,0.0769230769230768,8.125,27.857,1
22162,0,2828,1,2010,2022,36.0,25.0,1945,2,1,0.0,128.0,416717.0,0,0.3333333333333333,5.583,19.143,0
22163,1,31674,1,2010,2023,232.0,5120274.0,2388,5558,10,22.0,0.0,5379.0,1,0.7857142857142857,8.333,28.571,1
22164,0,2455,0,2009,2017,9.0,9.0,1917,1,1,0.0,108.0,129911.0,0,0.0909090909090909,4.542,15.571,0
22165,0,188953,1,2008,2023,4223.0,1374.0,157020,28,1,200.0,198.0,546464.0,0,1.0,8.333,28.571,1
22166,0,3844,0,2013,2018,1782.0,921.0,2026,95,1,0.0,0.0,4.0,0,0.1428571428571429,8.333,28.571,0
22167,0,359,1,2012,2017,0.0,107.0,52,1,15,0.0,42.0,245235.0,0,0.1999999999999999,8.167,28.0,0
22168,0,7,0,2021,2022,22.0,0.0,111,0,7,0.0,2.0,355.0,0,0.1666666666666666,0.292,1.0,1
22169,0,16,0,2012,2018,0.0,5.0,117,0,6,0.0,10.0,400.0,0,0.1538461538461538,0.583,2.0,0
22170,0,7507,1,2015,0,506.0,671.0,20531,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
22171,0,7837,0,2012,2023,80.0,461.0,952,0,1,39.0,2.0,11.0,0,0.3571428571428571,8.333,28.571,1
22172,0,2891,1,2011,0,156.0,67.0,1940,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
22173,1,3894,0,2011,2022,305.0,7474773.0,85,6432,1,0.0,8.0,14013.0,0,0.2142857142857143,8.333,28.571,1
22174,0,1974,0,2010,2022,250.0,28.0,1509,0,1,0.0,130.0,308276.0,0,0.8333333333333334,6.542,22.429,0
22175,0,5500,1,2009,2023,849.0,528.0,2638,46,1,0.0,66.0,125065.0,1,0.9285714285714286,8.333,28.571,1
22176,0,1,0,2022,0,12.0,0.0,2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
22177,0,8251,1,2011,2022,2317.0,1202.0,13070,52,1,0.0,16.0,112467.0,0,0.25,8.333,28.571,1
22178,1,14376,1,2012,2023,3242.0,636501.0,371,1994,41,0.0,38.0,395868.0,0,0.6153846153846154,8.25,28.286,1
22179,0,6260,0,2013,2021,291.0,247.0,9899,0,2,0.0,118.0,1506620.0,0,0.2666666666666667,7.625,26.143,1
22180,0,141771,1,2010,2023,12263.0,48571.0,301691,586,1,200.0,0.0,4981.0,0,0.9090909090909092,8.333,28.571,1
22181,1,339277,1,2010,2023,543.0,3644017.0,1288,6825,10,200.0,0.0,904.0,1,0.7777777777777778,8.333,28.571,0
22182,1,44233,1,2009,2023,11260.0,1257835.0,9410,7467,1,59.0,46.0,4046.0,1,0.5294117647058824,8.333,28.571,1
